;Winner;Turns;Win_rate
84782;Magdalena;28;0.513157118762016
84783;Bernhard;26;0.5131628609171541
84784;Magdalena;40;0.5131568083977118
84785;Bernhard;20;0.5131625504210601
84786;Magdalena;20;0.5131564980480499
84787;Magdalena;13;0.5131504458178044
84788;Bernhard;21;0.5131561877130288
84789;Bernhard;100;0.5131619294728151
84790;Magdalena;14;0.5131558773926478
84791;Bernhard;28;0.5131616190206624
84792;Magdalena;38;0.5131555670869058
84793;Bernhard;138;0.5131613085831545
84794;Magdalena;32;0.5131552567958017
84795;Magdalena;27;0.5131492051511863
84796;Magdalena;80;0.5131431536493036
84797;Bernhard;22;0.5131488950211089
84798;Bernhard;61;0.513154636257503
84799;Magdalena;19;0.5131485849056604
84800;Bernhard;77;0.5131543260103065
84801;Magdalena;41;0.5131482748048395
84802;Bernhard;39;0.5131540157777437
84803;Magdalena;15;0.5131479647186453
84804;Magdalena;8;0.5131419138022523
84805;Bernhard;14;0.5131476546470769
84806;Bernhard;43;0.5131533953565154
84807;Bernhard;18;0.5131591359305726
84808;Bernhard;15;0.5131648763692532
84809;Bernhard;28;0.5131706166725623
84810;Bernhard;47;0.5131763568405042
84811;Magdalena;45;0.513170306088761
84812;Magdalena;32;0.5131642554797025
84813;Magdalena;33;0.5131582050133233
84814;Magdalena;44;0.5131521546896186
84815;Bernhard;52;0.5131578947368421
84816;Bernhard;79;0.5131636346487143
84817;Magdalena;11;0.5131575844749935
84818;Magdalena;76;0.5131515344439336
84819;Magdalena;65;0.5131454845555293
84820;Magdalena;22;0.5131394348097759
84821;Magdalena;21;0.5131333852066681
84822;Magdalena;12;0.513127335746201
84823;Bernhard;22;0.5131330755446571
84824;Magdalena;14;0.5131270262304745
84825;Bernhard;18;0.5131327658972484
84826;Bernhard;19;0.5131385054286961
84827;Magdalena;65;0.513132456264441
84828;Magdalena;14;0.5131264072428061
84829;Magdalena;25;0.5131203583637864
84830;Magdalena;28;0.5131143096273768
84831;Bernhard;60;0.5131200490380988
84832;Magdalena;26;0.5131140004479389
84833;Bernhard;58;0.5131197397269962
84834;Magdalena;16;0.5131136912830789
84835;Magdalena;81;0.513107642981753
84836;Bernhard;77;0.5131133821327958
84837;Bernhard;38;0.513119121148542
84838;Magdalena;12;0.5131130729970886
84839;Magdalena;33;0.5131070249882131
84840;Magdalena;30;0.5131009771219104
84841;Magdalena;57;0.5130949293981755
84842;Magdalena;92;0.5130888818170032
84843;Bernhard;40;0.5130946207156664
84844;Magdalena;30;0.5130885732806884
84845;Bernhard;104;0.5130943120477099
84846;Magdalena;42;0.513088264758919
84847;Bernhard;26;0.5130940033943051
84848;Bernhard;67;0.5130997418944242
84849;Bernhard;18;0.513105480259281
84850;Bernhard;77;0.5131112184888805
84851;Bernhard;26;0.5131169565832273
84852;Magdalena;40;0.5131109094551755
84853;Bernhard;14;0.5131166474179178
84854;Magdalena;20;0.513110600436038
84855;Magdalena;41;0.5131045535966814
84856;Bernhard;103;0.513110291431467
84857;Magdalena;19;0.5131042447382687
84858;Bernhard;29;0.5131099824414617
84859;Bernhard;54;0.5131157200094273
84860;Bernhard;27;0.5131214574421702
84861;Magdalena;19;0.5131154109024063
84862;Bernhard;39;0.5131211482035751
84863;Magdalena;49;0.5131151018099548
84864;Bernhard;31;0.5131208389795557
84865;Magdalena;15;0.5131147927320717
84866;Magdalena;44;0.5131087466270753
84867;Magdalena;19;0.5131027006645614
84868;Bernhard;75;0.5131084377098822
84869;Magdalena;35;0.5131023918934842
84870;Magdalena;44;0.5130963462195567
84871;Magdalena;69;0.513090300688095
84872;Magdalena;26;0.513084255299094
84873;Magdalena;23;0.5130782100525485
84874;Magdalena;94;0.5130721649484536
84875;Bernhard;14;0.5130779018803903
84876;Magdalena;28;0.51307185692237
84877;Magdalena;43;0.5130658121067886
84878;Magdalena;52;0.5130597674336408
84879;Bernhard;26;0.5130655042412818
84880;Magdalena;56;0.5130594597141881
84881;Magdalena;33;0.5130534153295163
84882;Magdalena;68;0.5130473710872613
84883;Magdalena;61;0.5130413269874181
84884;Magdalena;132;0.5130352830299817
84885;Bernhard;52;0.5130410197205664
84886;Magdalena;18;0.5130349759091498
84887;Magdalena;33;0.5130289322401281
84888;Bernhard;29;0.5130346688027895
84889;Magdalena;35;0.5130286252797738
84890;Magdalena;32;0.5130225818991413
84891;Magdalena;23;0.5130165386608868
84892;Magdalena;34;0.5130104955650053
84893;Magdalena;43;0.513004452611492
84894;Bernhard;13;0.5130101890570705
84895;Magdalena;25;0.5130041462495288
84896;Magdalena;32;0.5129981035843434
84897;Bernhard;18;0.513003839902
84898;Bernhard;51;0.5130095760845239
84899;Bernhard;18;0.5130153121319199
84900;Magdalena;18;0.5130092696199102
84901;Magdalena;17;0.5130032272502415
84902;Bernhard;51;0.5130089631697349
84903;Bernhard;36;0.5130146989541129
84904;Bernhard;17;0.5130204346033802
84905;Magdalena;99;0.5130143923868749
84906;Magdalena;18;0.5130083503126951
84907;Bernhard;17;0.5130140858340793
84908;Bernhard;15;0.5130198212203654
84909;Bernhard;48;0.5130255564715581
84910;Bernhard;15;0.5130312915876624
84911;Bernhard;32;0.5130370265686829
84912;Bernhard;43;0.5130427614146243
84913;Bernhard;28;0.5130484961254916
84914;Bernhard;37;0.5130542307012895
84915;Magdalena;61;0.5130481887983419
84916;Bernhard;43;0.5130539232426958
84917;Bernhard;42;0.5130596575519913
84918;Magdalena;38;0.5130536157985846
84919;Bernhard;36;0.5130593499764484
84920;Magdalena;66;0.5130533083689547
84921;Magdalena;49;0.5130472669037469
84922;Magdalena;56;0.5130412255808203
84923;Magdalena;13;0.5130351844001696
84924;Bernhard;19;0.5130409184574625
84925;Bernhard;50;0.5130466523797188
84926;Magdalena;28;0.5130406113485699
84927;Magdalena;19;0.5130345704596835
84928;Magdalena;62;0.5130285297130545
84929;Magdalena;35;0.5130224891086778
84930;Bernhard;17;0.5130282229103625
84931;Magdalena;43;0.5130221824518438
84932;Magdalena;116;0.5130161421355657
84933;Bernhard;28;0.513021875809452
84934;Bernhard;17;0.5130276093483251
84935;Magdalena;25;0.5130215691815013
84936;Magdalena;24;0.5130155291569045
84937;Magdalena;37;0.5130094892745296
84938;Bernhard;29;0.5130152226892241
84939;Bernhard;48;0.5130209559689193
84940;Bernhard;27;0.51302668911362
84941;Bernhard;22;0.5130324221233312
84942;Bernhard;29;0.5130381549980575
84943;Bernhard;8;0.5130438877378037
84944;Bernhard;15;0.5130496203425746
84945;Bernhard;22;0.5130553528123749
84946;Magdalena;14;0.5130493131011101
84947;Magdalena;69;0.5130432735320432
84948;Bernhard;61;0.5130490058741127
84949;Bernhard;70;0.5130547380812243
84950;Bernhard;23;0.5130604701533825
84951;Bernhard;54;0.5130662020905923
84952;Bernhard;83;0.5130719338928584
84953;Magdalena;57;0.5130658944840737
84954;Bernhard;49;0.5130716261550232
84955;Magdalena;11;0.5130655868920382
