;Winner;Turns;Win_rate
11461;Magdalena;27;0.5044494852556273
11462;Magdalena;16;0.5044054784960307
11463;Bernhard;16;0.5044487090020935
11464;Magdalena;96;0.5044047099869167
11465;Bernhard;24;0.5044479330193616
11466;Magdalena;26;0.5044039417458794
11467;Magdalena;45;0.5043599581444018
11468;Magdalena;22;0.5043159822129218
11469;Bernhard;160;0.504359197907585
11470;Bernhard;13;0.5044024060674746
11471;Magdalena;17;0.5043584379358438
11472;Bernhard;9;0.5044016386298266
11473;Magdalena;27;0.5043576782290395
11474;Bernhard;41;0.504400871459695
11475;Bernhard;12;0.5044440571627745
11476;Bernhard;21;0.5044872353402458
11477;Bernhard;28;0.5045304059940756
11478;Bernhard;21;0.5045735691262305
11479;Bernhard;54;0.5046167247386759
11480;Bernhard;27;0.5046598728333769
11481;Magdalena;29;0.5046159205713291
11482;Bernhard;45;0.5046590612209353
11483;Magdalena;29;0.5046151166840822
11484;Magdalena;20;0.5045711797997388
11485;Bernhard;60;0.5046143130767892
11486;Magdalena;46;0.5045703839122486
11487;Magdalena;15;0.5045264623955432
11488;Magdalena;58;0.5044825485246758
11489;Bernhard;24;0.5045256744995649
11490;Bernhard;37;0.5045687929684101
11491;Magdalena;61;0.504524886877828
11492;Bernhard;57;0.5045679979117724
11493;Magdalena;49;0.5045240995301896
11494;Magdalena;30;0.5044802087864289
11495;Bernhard;46;0.5045233124565066
11496;Bernhard;107;0.5045664086283378
11497;Bernhard;38;0.5046094973038789
11498;Magdalena;32;0.5045656144012522
11499;Bernhard;44;0.5046086956521739
11500;Magdalena;20;0.5045648204503956
11501;Bernhard;46;0.5046078942792558
11502;Bernhard;27;0.504650960618969
11503;Bernhard;44;0.5046940194714882
11504;Magdalena;26;0.5046501521077792
11505;Bernhard;38;0.504693203545976
11506;Magdalena;18;0.5046493438776397
11507;Bernhard;24;0.5046923879040668
11508;Bernhard;119;0.5047354244504301
11509;Magdalena;13;0.5046915725456125
11510;Magdalena;54;0.5046477282599253
11511;Magdalena;31;0.5046038915913829
11512;Bernhard;27;0.5046469208720576
11513;Magdalena;23;0.5046030918881362
11514;Bernhard;15;0.5046461137646548
11515;Bernhard;52;0.5046891281695033
11516;Bernhard;47;0.5047321351046279
11517;Magdalena;19;0.504688313943393
11518;Bernhard;53;0.5047313134820731
11519;Magdalena;57;0.5046875
11520;Bernhard;37;0.504730492144779
11521;Magdalena;37;0.5046866863391772
11522;Magdalena;28;0.5046428881367699
11523;Magdalena;37;0.504599097535578
11524;Magdalena;22;0.5045553145336226
11525;Magdalena;53;0.5045115391289259
11526;Bernhard;15;0.5045545241606663
11527;Magdalena;31;0.5045107564191533
11528;Bernhard;57;0.5045537340619308
11529;Bernhard;20;0.5045967042497832
11530;Magdalena;30;0.5045529442372735
11531;Magdalena;33;0.5045091918140826
11532;Magdalena;16;0.5044654469782364
11533;Magdalena;11;0.5044217097277613
11534;Magdalena;30;0.5043779800606849
11535;Magdalena;17;0.5043342579750347
11536;Bernhard;75;0.5043772211146745
11537;Bernhard;40;0.5044201768070723
11538;Bernhard;17;0.5044631250541641
11539;Bernhard;48;0.5045060658578856
11540;Bernhard;87;0.5045489992201716
11541;Magdalena;21;0.5045052850459193
11542;Magdalena;28;0.5044615784458113
11543;Magdalena;19;0.5044178794178794
11544;Bernhard;57;0.5044608055435253
11545;Magdalena;55;0.5044171141520873
11546;Bernhard;53;0.5044600329089807
11547;Magdalena;23;0.5044163491513682
11548;Bernhard;33;0.5044592605420383
11549;Magdalena;99;0.5044155844155844
11550;Magdalena;44;0.5043719158514415
11551;Bernhard;48;0.5044148199445984
